/media/sunyu/OS1/suanli/collectionunzip/item_placement_9969
obj                 |bestobj             |time                |
35.420              |35.420              |50.040              |INIT
33.319              |33.319              |58.406              |lns2
30.047              |30.047              |69.105              |lns
28.525              |28.525              |75.845              |lns
28.122              |28.122              |87.253              |lns
27.721              |27.721              |101.956             |lns2
27.686              |27.686              |173.153             |lns2
27.133              |27.133              |202.437             |random
26.940              |26.940              |213.510             |lns
26.571              |26.571              |236.259             |lns2
26.528              |26.528              |341.041             |random
26.193              |26.193              |349.087             |lns
26.193              |26.193              |355.087             |random
25.862              |25.862              |371.412             |lns2
total time : 1000.1151759624481
