/media/sunyu/OS1/suanli/collectionunzip/opm2-z10-s4
obj                 |bestobj             |time                |
-5284.000           |-5284.000           |89.745              |INIT
-7970.000           |-7970.000           |90.109              |KS2
-10701.000          |-10701.000          |90.501              |KS2
-13331.000          |-13331.000          |90.920              |KS2
-13539.000          |-13539.000          |91.371              |KS2
-14647.000          |-14647.000          |91.824              |KS2
-16313.000          |-16313.000          |93.293              |lns
-16469.000          |-16469.000          |93.655              |lns
-16609.000          |-16609.000          |94.354              |lns
-19402.000          |-19402.000          |95.083              |lns
-20631.000          |-20631.000          |95.465              |lns
-21884.000          |-21884.000          |96.244              |lns
-22411.000          |-22411.000          |96.610              |lns
-22891.000          |-22891.000          |97.375              |lns
-30373.000          |-30373.000          |132.616             |lns
-30501.000          |-30501.000          |145.182             |lns
-30518.000          |-30518.000          |152.249             |lns
-30525.000          |-30525.000          |221.525             |lns2
-30529.000          |-30529.000          |223.042             |lns
-30536.000          |-30536.000          |224.560             |lns
-30543.000          |-30543.000          |225.159             |lns
-30547.000          |-30547.000          |226.145             |lns
-30559.000          |-30559.000          |231.101             |lns
-30563.000          |-30563.000          |301.903             |random
-30583.000          |-30583.000          |302.274             |lns
-30592.000          |-30592.000          |303.787             |lns
-30594.000          |-30594.000          |304.192             |lns
-30598.000          |-30598.000          |305.293             |lns
-30603.000          |-30603.000          |310.450             |lns
-30627.000          |-30627.000          |380.221             |lns2
-30638.000          |-30638.000          |382.765             |lns
-30690.000          |-30690.000          |383.970             |lns
-30714.000          |-30714.000          |389.275             |lns
-30718.000          |-30718.000          |459.156             |lns2
-30720.000          |-30720.000          |528.354             |random
-30778.000          |-30778.000          |529.137             |lns
-30780.000          |-30780.000          |530.044             |lns
-30784.000          |-30784.000          |530.733             |lns
-30805.000          |-30805.000          |532.197             |lns
-30819.000          |-30819.000          |538.290             |lns
-30825.000          |-30825.000          |610.583             |lns2
-30828.000          |-30828.000          |612.428             |lns
-30875.000          |-30875.000          |680.481             |random
-30902.000          |-30902.000          |747.312             |lns2
-30936.000          |-30936.000          |747.792             |random
-30941.000          |-30941.000          |748.190             |lns
-30980.000          |-30980.000          |815.733             |lns2
-30985.000          |-30985.000          |817.606             |lns
total time : 1055.3496878147125
