/media/sunyu/OS1/suanli/collectionunzip/item_placement_9975
obj                 |bestobj             |time                |
909.120             |909.120             |0.066               |KS1
302.450             |302.450             |2.667               |KS2
47.326              |47.326              |9.582               |KS2
29.736              |29.736              |21.179              |KS2
28.006              |28.006              |26.393              |crossover
23.774              |23.774              |30.876              |lns
22.796              |22.796              |35.357              |lns
22.177              |22.177              |39.965              |lns
21.521              |21.521              |44.794              |lns
20.880              |20.880              |53.113              |lns2
20.758              |20.758              |54.925              |random
20.426              |20.426              |60.923              |lns
20.405              |20.405              |78.511              |random
20.209              |20.209              |96.898              |lns2
19.815              |19.815              |155.187             |lns2
19.738              |19.738              |251.885             |random
18.865              |18.865              |296.185             |lns2
18.560              |18.560              |315.328             |lns2
18.326              |18.326              |343.054             |lns
17.807              |17.807              |350.181             |lns
17.807              |17.807              |363.210             |random
17.713              |17.713              |373.460             |lns
16.736              |16.736              |382.451             |lns
16.721              |16.721              |390.921             |lns2
total time : 1000.0555226802826
