/media/sunyu/OS1/suanli/collectionunzip/item_placement_9958
obj                 |bestobj             |time                |
908.991             |908.991             |0.064               |KS1
169.258             |169.258             |3.978               |KS2
53.701              |53.701              |11.253              |KS2
22.713              |22.713              |19.966              |KS2
21.138              |21.138              |26.329              |KS2
20.207              |20.207              |32.256              |crossover
20.155              |20.155              |38.802              |lns
19.575              |19.575              |43.353              |lns
17.767              |17.767              |53.918              |lns
17.007              |17.007              |59.283              |lns
17.004              |17.004              |78.504              |random
17.001              |17.001              |88.934              |lns2
16.941              |16.941              |224.918             |lns
16.941              |16.941              |239.073             |random
16.941              |16.941              |248.278             |random
16.941              |16.941              |252.795             |random
16.941              |16.941              |268.523             |random
16.937              |16.937              |274.085             |lns2
16.269              |16.269              |352.460             |lns
16.051              |16.051              |372.411             |lns2
15.768              |15.768              |415.115             |lns
15.602              |15.602              |429.631             |lns2
15.488              |15.488              |903.191             |random
15.488              |15.488              |926.775             |random
15.475              |15.475              |955.451             |random
15.078              |15.078              |968.769             |lns2
total time : 999.9667415618896
