/media/sunyu/OS1/suanli/collectionunzip/item_placement_9920
obj                 |bestobj             |time                |
912.019             |912.019             |0.038               |init
195.426             |195.426             |4.454               |KS2
28.763              |28.763              |9.927               |KS2
27.311              |27.311              |24.362              |KS2
26.999              |26.999              |29.988              |KS2
26.787              |26.787              |35.602              |KS2
26.080              |26.080              |40.614              |lns
24.715              |24.715              |44.749              |lns
24.715              |24.715              |53.237              |random
24.704              |24.704              |89.589              |random
24.142              |24.142              |96.296              |lns
23.955              |23.955              |102.707             |random
23.932              |23.932              |111.334             |lns2
22.880              |22.880              |847.366             |lns2
total time : 1000.0708379745483
