/media/sunyu/OS1/suanli/collectionunzip/SET4_01
obj                 |bestobj             |time                |
3028701.218         |3028701.218         |0.142               |INIT
123836.354          |123836.354          |50.167              |KS2
88756.801           |88756.801           |100.190             |KS2
70601.139           |70601.139           |150.213             |KS2
65560.872           |65560.872           |200.235             |KS2
65156.554           |65156.554           |216.890             |crossover
61617.717           |61617.717           |242.841             |lns
61509.135           |61509.135           |260.914             |lns
61413.985           |61413.985           |307.919             |random
61299.031           |61299.031           |405.770             |random
59410.545           |59410.545           |468.500             |lns
58937.469           |58937.469           |503.808             |random
58937.469           |58937.469           |608.016             |random
57815.496           |57815.496           |671.329             |lns
57552.312           |57552.312           |722.412             |lns
56124.386           |56124.386           |762.256             |lns
55562.248           |55562.248           |797.085             |lns
55464.386           |55464.386           |878.786             |random
total time : 1000.1194722652435
