/media/sunyu/OS1/suanli/collectionunzip/item_placement_9971
obj                 |bestobj             |time                |
21.357              |21.357              |50.039              |INIT
17.989              |17.989              |59.535              |KS2
17.914              |17.914              |70.734              |lns
17.749              |17.749              |82.895              |lns
17.177              |17.177              |91.785              |lns
16.405              |16.405              |110.299             |random
16.390              |16.390              |119.936             |random
14.573              |14.573              |133.219             |lns2
14.364              |14.364              |454.814             |random
13.570              |13.570              |476.890             |lns2
13.244              |13.244              |951.693             |random
12.872              |12.872              |976.544             |lns2
total time : 1000.1165308952332
