/media/sunyu/OS1/suanli/collectionunzip/item_placement_9915
obj                 |bestobj             |time                |
31.985              |31.985              |50.016              |INIT
31.077              |31.077              |100.091             |KS2
30.391              |30.391              |150.160             |KS2
30.391              |30.391              |200.211             |KS2
30.391              |30.391              |400.444             |random
30.146              |30.146              |450.488             |lns
29.812              |29.812              |500.513             |lns
29.773              |29.773              |650.561             |random
29.766              |29.766              |700.602             |lns
total time : 1000.0341277122498
