/media/sunyu/OS1/suanli/collectionunzip/item_placement_9978
obj                 |bestobj             |time                |
12.592              |12.592              |50.016              |INIT
12.330              |12.330              |100.049             |KS2
12.321              |12.321              |150.060             |KS2
10.024              |10.024              |200.130             |KS2
10.024              |10.024              |250.178             |crossover
10.021              |10.021              |352.540             |random
8.887               |8.887               |402.581             |lns
8.642               |8.642               |452.605             |lns
total time : 1000.0095496177673
