/media/sunyu/OS1/suanli/collectionunzip/item_placement_9982
obj                 |bestobj             |time                |
20.907              |20.907              |50.016              |INIT
17.657              |17.657              |100.078             |KS2
17.247              |17.247              |150.137             |KS2
17.196              |17.196              |200.189             |KS2
17.194              |17.194              |353.960             |random
17.163              |17.163              |404.026             |lns
17.129              |17.129              |454.060             |lns
17.129              |17.129              |1000.007            |random
total time : 1000.0068244934082
