/media/sunyu/OS1/suanli/collectionunzip/item_placement_9941
obj                 |bestobj             |time                |
8.167               |8.167               |50.016              |INIT
7.513               |7.513               |100.062             |KS2
5.966               |5.966               |150.135             |KS2
5.376               |5.376               |200.175             |KS2
5.376               |5.376               |250.219             |crossover
5.376               |5.376               |450.406             |random
5.179               |5.179               |500.450             |lns
5.179               |5.179               |600.504             |random
5.150               |5.150               |650.544             |lns
5.146               |5.146               |700.592             |lns
5.146               |5.146               |800.654             |random
5.134               |5.134               |850.681             |lns
total time : 1000.0078604221344
