/media/sunyu/OS1/suanli/collectionunzip/item_placement_9946
obj                 |bestobj             |time                |
14.730              |14.730              |50.016              |INIT
14.496              |14.496              |100.080             |KS2
14.421              |14.421              |150.163             |KS2
14.348              |14.348              |200.212             |KS2
14.335              |14.335              |250.303             |crossover
14.329              |14.329              |300.351             |lns
12.683              |12.683              |751.498             |random
11.338              |11.338              |801.544             |lns
11.144              |11.144              |851.608             |lns
11.016              |11.016              |901.658             |lns
total time : 1000.0059008598328
