/media/sunyu/OS1/suanli/collectionunzip/item_placement_9979
obj                 |bestobj             |time                |
9.266               |9.266               |50.016              |INIT
9.257               |9.257               |100.070             |KS2
9.094               |9.094               |200.212             |lns
9.066               |9.066               |250.246             |lns
9.015               |9.015               |400.415             |lns2
8.374               |8.374               |500.460             |lns
8.371               |8.371               |550.494             |lns
8.370               |8.370               |831.545             |random
total time : 1000.0163760185242
