/media/sunyu/OS1/suanli/collectionunzip/anonymous_73
obj                 |bestobj             |time                |
880894.898          |880894.898          |1.133               |KS1
880801.728          |880801.728          |1.311               |KS2
650699.797          |650699.797          |7.342               |KS2
645743.203          |645743.203          |7.927               |KS2
271688.091          |271688.091          |53.236              |KS2
271602.876          |271602.876          |53.921              |lns
259534.201          |259534.201          |64.715              |lns
251753.808          |251753.808          |97.239              |lns
240384.566          |240384.566          |132.759             |lns
238751.180          |238751.180          |172.029             |lns
231294.377          |231294.377          |220.291             |lns
198387.444          |198387.444          |246.643             |lns
186892.448          |186892.448          |306.192             |lns
180070.297          |180070.297          |326.769             |lns
169350.411          |169350.411          |381.884             |lns
156545.445          |156545.445          |426.133             |lns
153126.632          |153126.632          |484.327             |lns
147242.635          |147242.635          |533.107             |lns
146879.292          |146879.292          |584.193             |lns
143739.303          |143739.303          |621.411             |lns
143719.602          |143719.602          |663.926             |lns
139289.774          |139289.774          |698.991             |lns2
139024.405          |139024.405          |713.799             |lns
138667.164          |138667.164          |726.138             |lns
138667.164          |138667.164          |739.384             |random
138667.154          |138667.154          |765.190             |lns
138638.110          |138638.110          |791.675             |lns2
138634.388          |138634.388          |821.862             |lns
131624.722          |131624.722          |857.269             |lns
131584.522          |131584.522          |875.946             |lns2
131584.462          |131584.462          |906.792             |lns
112741.833          |112741.833          |976.647             |lns
112741.833          |112741.833          |998.503             |random
total time : 998.5039160251617
