/media/sunyu/OS1/suanli/collectionunzip/item_placement_9971
obj                 |bestobj             |time                |
908.790             |908.790             |0.067               |KS1
243.208             |243.208             |4.009               |KS2
23.769              |23.769              |12.641              |KS2
21.956              |21.956              |22.141              |lns
21.258              |21.258              |26.401              |lns
21.246              |21.246              |31.447              |lns
19.036              |19.036              |36.188              |lns
18.421              |18.421              |42.497              |lns2
18.157              |18.157              |65.750              |lns2
17.985              |17.985              |76.080              |lns
16.613              |16.613              |84.619              |lns
16.205              |16.205              |101.488             |random
16.197              |16.197              |158.736             |random
16.195              |16.195              |173.660             |lns2
15.211              |15.211              |197.738             |lns
15.128              |15.128              |206.088             |random
15.128              |15.128              |216.284             |random
14.251              |14.251              |268.356             |lns2
14.247              |14.247              |268.681             |random
14.247              |14.247              |329.109             |random
14.247              |14.247              |345.749             |random
14.241              |14.241              |362.052             |lns2
13.912              |13.912              |550.944             |lns2
13.476              |13.476              |653.592             |random
13.250              |13.250              |662.061             |lns
13.250              |13.250              |669.972             |random
13.250              |13.250              |675.622             |random
13.090              |13.090              |695.663             |lns2
11.216              |11.216              |846.122             |lns2
total time : 1000.0732998847961
