/media/sunyu/OS1/suanli/collectionunzip/anonymous_27
obj                 |bestobj             |time                |
1116021.793         |1116021.793         |45.560              |KS1
936883.988          |936883.988          |48.285              |KS2
525155.431          |525155.431          |90.230              |KS2
445351.277          |445351.277          |109.239             |KS2
444594.614          |444594.614          |114.646             |KS2
381094.363          |381094.363          |148.826             |KS2
381031.362          |381031.362          |157.509             |KS2
367859.358          |367859.358          |172.551             |lns
355607.456          |355607.456          |179.312             |lns
351875.190          |351875.190          |214.537             |lns
332871.349          |332871.349          |247.338             |lns
179725.122          |179725.122          |289.424             |lns
175765.967          |175765.967          |350.902             |lns
175710.340          |175710.340          |398.700             |lns
175710.320          |175710.320          |435.481             |lns
164259.183          |164259.183          |514.746             |lns
164142.883          |164142.883          |548.080             |lns
162336.672          |162336.672          |576.744             |lns2
146823.491          |146823.491          |614.694             |lns
146237.662          |146237.662          |658.935             |lns2
145167.842          |145167.842          |702.517             |lns
145167.792          |145167.792          |744.544             |lns
144827.320          |144827.320          |772.526             |lns
142389.664          |142389.664          |830.707             |lns
142389.644          |142389.644          |884.041             |lns
142294.457          |142294.457          |961.744             |lns
142281.969          |142281.969          |991.204             |lns2
142266.315          |142266.315          |991.281             |random
142266.295          |142266.295          |997.437             |lns
total time : 997.4379208087921
