/media/sunyu/OS1/suanli/collectionunzip/SET4_30
obj                 |bestobj             |time                |
3532976.880         |3532976.880         |0.070               |init
3173591.815         |3173591.815         |0.265               |KS2
2183455.999         |2183455.999         |0.609               |KS2
2035594.978         |2035594.978         |1.135               |KS2
1949527.412         |1949527.412         |1.629               |KS2
1201780.345         |1201780.345         |32.041              |KS2
1151505.459         |1151505.459         |35.336              |KS2
905153.606          |905153.606          |37.853              |lns
652831.642          |652831.642          |45.654              |lns
642659.066          |642659.066          |49.460              |lns
635996.510          |635996.510          |60.417              |lns
621046.229          |621046.229          |65.437              |lns
608930.179          |608930.179          |71.146              |lns
312133.835          |312133.835          |106.886             |lns
310606.171          |310606.171          |120.191             |random
307475.910          |307475.910          |160.679             |lns
279287.865          |279287.865          |295.788             |lns
264663.930          |264663.930          |306.815             |lns
264243.680          |264243.680          |387.866             |lns
264163.813          |264163.813          |505.209             |lns
264153.406          |264153.406          |523.897             |random
264153.406          |264153.406          |626.910             |random
264153.396          |264153.396          |861.568             |random
264046.738          |264046.738          |897.776             |lns
264046.738          |264046.738          |953.827             |random
264046.738          |264046.738          |984.332             |random
total time : 999.8138978481293
