/media/sunyu/OS1/suanli/collectionunzip/n3707
obj                 |bestobj             |time                |
1245393.000         |1245393.000         |50.088              |INIT
1240668.000         |1240668.000         |100.129             |KS2
1234725.000         |1234725.000         |150.168             |KS2
1234707.000         |1234707.000         |200.224             |lns
1234692.000         |1234692.000         |452.896             |lns2
1234486.000         |1234486.000         |502.932             |random
1234471.000         |1234471.000         |552.963             |lns
1233390.000         |1233390.000         |703.960             |lns2
total time : 1001.3537664413452
