/media/sunyu/OS1/suanli/collectionunzip/item_placement_9965
obj                 |bestobj             |time                |
9.761               |9.761               |50.016              |INIT
8.746               |8.746               |100.068             |KS2
8.225               |8.225               |150.149             |KS2
7.905               |7.905               |200.197             |lns
7.905               |7.905               |350.289             |random
7.886               |7.886               |400.296             |lns
7.871               |7.871               |450.304             |lns
7.868               |7.868               |500.311             |lns
total time : 1000.0526978969574
