/media/sunyu/OS1/suanli/collectionunzip/neos-2328163-agri
obj                 |bestobj             |time                |
30661.000           |30661.000           |149.788             |KS1
29562.000           |29562.000           |170.621             |KS2
29492.000           |29492.000           |265.675             |lns2
29485.000           |29485.000           |308.418             |lns
29462.000           |29462.000           |370.478             |random
29363.000           |29363.000           |423.823             |lns2
29336.000           |29336.000           |473.852             |lns
total time : 1000.0272336006165
