/media/sunyu/OS1/suanli/collectionunzip/neos-1445738
obj                 |bestobj             |time                |
0.000               |0.000               |0.415               |INIT
-601.000            |-601.000            |0.510               |KS2
-676.000            |-676.000            |0.607               |KS2
-905.000            |-905.000            |0.708               |KS2
-1242.000           |-1242.000           |0.819               |KS2
-1563.000           |-1563.000           |0.983               |KS2
-1629.000           |-1629.000           |1.305               |random
-1699.000           |-1699.000           |5.495               |random
-1845.000           |-1845.000           |7.472               |lns
-1963.000           |-1963.000           |9.703               |random
-2919.000           |-2919.000           |9.817               |lns
-2930.000           |-2930.000           |11.563              |lns
-3008.000           |-3008.000           |13.607              |random
-3229.000           |-3229.000           |15.425              |random
-3277.000           |-3277.000           |17.315              |lns
-3322.000           |-3322.000           |18.928              |random
-3480.000           |-3480.000           |19.230              |random
-3582.000           |-3582.000           |19.864              |random
-3672.000           |-3672.000           |22.002              |random
-3816.000           |-3816.000           |22.415              |random
-3863.000           |-3863.000           |24.368              |random
-3901.000           |-3901.000           |24.476              |lns
-3949.000           |-3949.000           |26.730              |random
-4012.000           |-4012.000           |27.300              |random
-4074.000           |-4074.000           |29.931              |random
-4091.000           |-4091.000           |31.953              |random
-4097.000           |-4097.000           |32.406              |random
-4231.000           |-4231.000           |34.405              |random
-4285.000           |-4285.000           |37.986              |random
-4334.000           |-4334.000           |38.812              |random
-4399.000           |-4399.000           |42.299              |random
-4551.000           |-4551.000           |49.176              |random
-4563.000           |-4563.000           |50.301              |random
-4573.000           |-4573.000           |54.288              |random
-4606.000           |-4606.000           |55.960              |random
-4747.000           |-4747.000           |57.506              |random
-4827.000           |-4827.000           |59.782              |random
-4916.000           |-4916.000           |62.581              |random
-4981.000           |-4981.000           |65.929              |random
-4997.000           |-4997.000           |72.985              |random
-5052.000           |-5052.000           |73.104              |lns
-5140.000           |-5140.000           |77.131              |random
-5167.000           |-5167.000           |82.517              |random
-5247.000           |-5247.000           |93.716              |random
-5252.000           |-5252.000           |100.719             |random
-5304.000           |-5304.000           |124.503             |random
-5365.000           |-5365.000           |136.493             |random
-5551.000           |-5551.000           |142.217             |random
-5556.000           |-5556.000           |201.471             |random
-5707.000           |-5707.000           |228.128             |random
-5721.000           |-5721.000           |247.535             |random
-5725.000           |-5725.000           |335.065             |random
-5730.000           |-5730.000           |354.841             |random
-5865.000           |-5865.000           |389.762             |random
-5894.000           |-5894.000           |541.675             |random
-5904.000           |-5904.000           |630.672             |random
-5908.000           |-5908.000           |713.748             |random
-5913.000           |-5913.000           |714.270             |random
-5983.000           |-5983.000           |720.116             |random
-6130.000           |-6130.000           |745.713             |random
-6221.000           |-6221.000           |767.097             |random
-6401.000           |-6401.000           |788.785             |random
-6446.000           |-6446.000           |885.528             |random
-6577.000           |-6577.000           |889.626             |random
total time : 1000.0196418762207
