/media/sunyu/OS1/suanli/collectionunzip/SET3_24
obj                 |bestobj             |time                |
3895660.960         |3895660.960         |0.103               |INIT
433944.781          |433944.781          |50.118              |KS2
378306.797          |378306.797          |100.134             |KS2
365985.076          |365985.076          |250.173             |KS2
299918.982          |299918.982          |272.060             |lns
299913.323          |299913.323          |274.467             |random
299729.064          |299729.064          |275.763             |lns
299729.034          |299729.034          |278.547             |lns
297774.658          |297774.658          |308.466             |random
296157.038          |296157.038          |325.532             |random
296157.038          |296157.038          |343.210             |random
295499.789          |295499.789          |358.398             |random
295026.625          |295026.625          |381.316             |random
293772.981          |293772.981          |397.747             |random
290034.207          |290034.207          |419.995             |random
290007.312          |290007.312          |443.764             |random
290007.272          |290007.272          |461.531             |random
289732.254          |289732.254          |476.892             |random
289732.184          |289732.184          |560.786             |random
289682.966          |289682.966          |598.264             |random
289200.195          |289200.195          |615.043             |random
289200.155          |289200.155          |685.667             |random
288167.949          |288167.949          |820.921             |random
287496.495          |287496.495          |901.931             |random
286808.597          |286808.597          |974.260             |random
286808.547          |286808.547          |995.687             |random
total time : 1000.1140897274017
