/media/sunyu/OS1/suanli/collectionunzip/item_placement_9956
obj                 |bestobj             |time                |
24.305              |24.305              |50.044              |INIT
21.765              |21.765              |59.139              |KS2
18.230              |18.230              |64.476              |KS2
18.230              |18.230              |69.403              |random
17.834              |17.834              |74.320              |lns
17.828              |17.828              |76.313              |random
16.466              |16.466              |88.078              |random
16.361              |16.361              |155.005             |random
16.165              |16.165              |181.621             |random
15.800              |15.800              |192.694             |random
15.598              |15.598              |201.917             |random
15.594              |15.594              |210.872             |random
15.594              |15.594              |236.689             |random
15.586              |15.586              |281.645             |random
15.572              |15.572              |470.273             |random
15.376              |15.376              |605.442             |random
15.122              |15.122              |617.695             |random
14.676              |14.676              |756.728             |random
14.448              |14.448              |773.547             |random
14.382              |14.382              |786.060             |random
14.347              |14.347              |837.139             |random
14.028              |14.028              |847.301             |random
14.028              |14.028              |935.264             |random
13.991              |13.991              |978.004             |random
13.991              |13.991              |985.542             |random
13.932              |13.932              |1000.005            |random
total time : 1000.00536942482
