/media/sunyu/OS1/suanli/collectionunzip/anonymous_73
obj                 |bestobj             |time                |
166414.648          |166414.648          |52.729              |INIT
166414.648          |166414.648          |52.790              |KS2
152571.840          |152571.840          |52.970              |KS2
133208.448          |133208.448          |103.015             |KS2
133208.448          |133208.448          |113.653             |random
132780.644          |132780.644          |125.477             |random
131769.533          |131769.533          |144.888             |random
131768.704          |131768.704          |174.862             |random
122770.279          |122770.279          |235.214             |lns
122770.279          |122770.279          |268.109             |random
122770.279          |122770.279          |311.676             |random
122770.279          |122770.279          |355.806             |random
122770.279          |122770.279          |399.898             |random
122769.127          |122769.127          |454.391             |lns
114837.294          |114837.294          |537.792             |lns
114564.222          |114564.222          |564.831             |random
114513.730          |114513.730          |626.025             |lns
114513.730          |114513.730          |666.270             |random
114513.730          |114513.730          |702.638             |random
114513.730          |114513.730          |748.291             |random
114513.720          |114513.720          |779.369             |random
114513.720          |114513.720          |816.478             |random
114513.710          |114513.710          |876.258             |lns
114513.710          |114513.710          |899.822             |random
114513.710          |114513.710          |951.912             |random
114513.710          |114513.710          |989.240             |random
total time : 1000.113285779953
