/media/sunyu/OS1/suanli/collectionunzip/gmut-76-40
obj                 |bestobj             |time                |
-13937785.233       |-13937785.233       |53.183              |INIT
-14085766.590       |-14085766.590       |54.436              |KS2
-14096669.979       |-14096669.979       |55.466              |KS2
-14105513.728       |-14105513.728       |58.147              |KS2
-14112463.491       |-14112463.491       |61.075              |KS2
-14112463.491       |-14112463.491       |106.142             |KS2
-14119988.651       |-14119988.651       |111.111             |random
-14120116.754       |-14120116.754       |119.898             |random
-14139131.675       |-14139131.675       |130.633             |lns
-14139552.890       |-14139552.890       |143.247             |random
-14139974.939       |-14139974.939       |160.306             |random
-14145483.865       |-14145483.865       |188.455             |random
-14146218.644       |-14146218.644       |211.534             |random
-14148259.258       |-14148259.258       |230.102             |lns
-14150354.602       |-14150354.602       |249.948             |lns
-14151322.130       |-14151322.130       |276.735             |random
-14151322.131       |-14151322.131       |294.565             |random
-14151558.827       |-14151558.827       |360.426             |random
-14151578.918       |-14151578.918       |384.779             |random
-14152842.238       |-14152842.238       |405.991             |random
-14152842.238       |-14152842.238       |426.336             |random
-14152842.498       |-14152842.498       |462.692             |random
-14153096.826       |-14153096.826       |515.252             |random
-14153096.830       |-14153096.830       |539.339             |random
-14154790.659       |-14154790.659       |573.034             |random
-14154790.659       |-14154790.659       |602.745             |random
-14154790.899       |-14154790.899       |636.323             |random
-14159844.841       |-14159844.841       |677.132             |random
-14159844.841       |-14159844.841       |700.137             |random
-14160020.351       |-14160020.351       |722.152             |random
-14160348.332       |-14160348.332       |745.748             |random
-14160502.350       |-14160502.350       |769.298             |random
-14160502.350       |-14160502.350       |790.850             |random
-14161059.079       |-14161059.079       |813.681             |random
-14161216.560       |-14161216.560       |839.287             |random
-14161216.810       |-14161216.810       |867.096             |random
-14161309.173       |-14161309.173       |880.052             |random
-14161309.423       |-14161309.423       |906.270             |random
-14162106.133       |-14162106.133       |932.544             |random
-14162106.383       |-14162106.383       |957.344             |random
-14162216.360       |-14162216.360       |976.956             |random
-14162437.441       |-14162437.441       |999.119             |random
total time : 1000.4127130508423
