/media/sunyu/OS1/suanli/collectionunzip/item_placement_9987
obj                 |bestobj             |time                |
35.704              |35.704              |50.043              |INIT
35.065              |35.065              |58.973              |lns
34.215              |34.215              |62.029              |lns
34.215              |34.215              |62.863              |random
32.639              |32.639              |66.244              |lns
32.582              |32.582              |72.945              |random
32.140              |32.140              |79.725              |random
31.236              |31.236              |86.131              |random
30.876              |30.876              |94.001              |random
30.850              |30.850              |107.077             |random
30.828              |30.828              |123.798             |random
30.394              |30.394              |129.852             |random
30.270              |30.270              |156.499             |random
30.270              |30.270              |160.277             |random
30.157              |30.157              |182.711             |random
30.090              |30.090              |423.660             |random
total time : 1000.0082821846008
