/media/sunyu/OS1/suanli/collectionunzip/load_balancing_1009
obj                 |bestobj             |time                |
679.000             |679.000             |9.319               |KS1
650.000             |650.000             |59.484              |KS2
646.000             |646.000             |109.644             |KS2
642.000             |642.000             |209.885             |KS2
639.000             |639.000             |260.043             |KS2
638.000             |638.000             |310.224             |crossover
637.000             |637.000             |663.010             |random
total time : 1000.1442704200745
