/media/sunyu/OS1/suanli/collectionunzip/load_balancing_9899
obj                 |bestobj             |time                |
734.000             |734.000             |11.257              |KS1
711.000             |711.000             |61.452              |KS2
710.000             |710.000             |111.622             |KS2
707.000             |707.000             |161.801             |KS2
706.000             |706.000             |211.977             |KS2
705.000             |705.000             |262.147             |KS2
703.000             |703.000             |312.351             |crossover
703.000             |703.000             |359.638             |random
total time : 1000.1365396976471
