/media/sunyu/OS1/suanli/collectionunzip/sing326
obj                 |bestobj             |time                |
7886954.409         |7886954.409         |115.215             |INIT
7884879.621         |7884879.621         |115.963             |KS2
7883498.601         |7883498.601         |116.691             |KS2
7882958.513         |7882958.513         |117.446             |KS2
7845785.555         |7845785.555         |122.262             |KS2
7841349.211         |7841349.211         |123.687             |KS2
7841349.211         |7841349.211         |124.643             |KS2
7841192.739         |7841192.739         |128.083             |lns
7840771.567         |7840771.567         |131.615             |random
7840666.224         |7840666.224         |134.011             |lns
7840664.434         |7840664.434         |207.812             |lns
7840204.991         |7840204.991         |289.130             |random
7840202.720         |7840202.720         |362.506             |lns
7838753.668         |7838753.668         |367.735             |random
7838408.335         |7838408.335         |380.744             |lns
7838109.986         |7838109.986         |390.890             |random
7838101.574         |7838101.574         |394.457             |lns
7837168.122         |7837168.122         |479.179             |random
7837126.289         |7837126.289         |486.186             |lns
7837126.239         |7837126.239         |495.482             |lns
7836864.936         |7836864.936         |578.870             |random
7836864.886         |7836864.886         |666.531             |lns
7836418.543         |7836418.543         |765.202             |random
7836358.796         |7836358.796         |788.941             |lns
7836085.744         |7836085.744         |881.921             |random
7836085.724         |7836085.724         |893.311             |lns
7835917.439         |7835917.439         |974.690             |random
total time : 1000.6744000911713
