/media/sunyu/OS1/suanli/collectionunzip/anonymous_93
obj                 |bestobj             |time                |
3872323.907         |3872323.907         |0.406               |KS1
326401.840          |326401.840          |50.542              |KS2
233262.868          |233262.868          |100.665             |KS2
214838.117          |214838.117          |150.852             |lns
191725.151          |191725.151          |251.074             |lns
188545.566          |188545.566          |301.174             |lns
188339.217          |188339.217          |351.274             |lns
188339.147          |188339.147          |401.375             |lns
188339.087          |188339.087          |451.478             |lns
186477.308          |186477.308          |501.580             |lns
186477.278          |186477.278          |551.681             |lns
186472.320          |186472.320          |601.783             |lns
186472.320          |186472.320          |656.222             |random
186063.108          |186063.108          |756.439             |lns
178313.744          |178313.744          |806.544             |lns
178313.734          |178313.734          |856.649             |lns
178079.787          |178079.787          |906.754             |lns
178044.392          |178044.392          |956.857             |lns
178044.372          |178044.372          |997.932             |lns
total time : 997.932769536972
