/media/sunyu/OS1/suanli/collectionunzip/anonymous_31
obj                 |bestobj             |time                |
1058248.182         |1058248.182         |7.876               |KS1
547611.455          |547611.455          |57.939              |KS2
369724.150          |369724.150          |107.997             |KS2
323405.101          |323405.101          |158.051             |KS2
269839.685          |269839.685          |160.017             |lns
245299.341          |245299.341          |212.010             |lns
188325.823          |188325.823          |262.057             |lns
188282.250          |188282.250          |312.106             |lns
188282.240          |188282.240          |362.153             |lns
182636.300          |182636.300          |412.806             |lns2
182636.290          |182636.290          |451.882             |lns
182636.246          |182636.246          |501.933             |lns
182608.194          |182608.194          |552.145             |lns
182608.184          |182608.184          |611.079             |lns2
182259.780          |182259.780          |668.626             |lns2
180392.842          |180392.842          |718.712             |lns
180307.804          |180307.804          |768.754             |lns
179452.262          |179452.262          |819.222             |lns2
178748.301          |178748.301          |869.537             |lns
175169.018          |175169.018          |919.587             |lns
175061.912          |175061.912          |992.611             |lns
175059.483          |175059.483          |998.033             |lns
total time : 998.033252954483
