/media/sunyu/OS1/suanli/collectionunzip/rmine15
obj                 |bestobj             |time                |
0.000               |0.000               |0.326               |init
-289.592            |-289.592            |1.287               |KS2
-746.668            |-746.668            |4.695               |KS2
-1159.311           |-1159.311           |55.188              |lns
-1159.352           |-1159.352           |105.477             |lns
-1328.167           |-1328.167           |156.346             |lns
-1640.427           |-1640.427           |157.087             |lns
-1801.650           |-1801.650           |160.555             |lns
-2243.396           |-2243.396           |168.331             |lns
-2454.151           |-2454.151           |176.608             |lns
-2482.342           |-2482.342           |180.543             |lns
-2584.096           |-2584.096           |231.098             |lns
-2604.534           |-2604.534           |553.015             |lns2
-2646.451           |-2646.451           |554.905             |lns
-2707.566           |-2707.566           |555.374             |lns
-2824.541           |-2824.541           |556.834             |lns
-2912.245           |-2912.245           |557.835             |lns
-3337.082           |-3337.082           |603.648             |lns
-3337.119           |-3337.119           |637.029             |lns
-3457.181           |-3457.181           |671.806             |lns
-3792.208           |-3792.208           |722.084             |lns
-3792.961           |-3792.961           |772.353             |lns
-3792.973           |-3792.973           |822.627             |lns
-3850.092           |-3850.092           |874.202             |lns
-4018.766           |-4018.766           |924.445             |lns
-4041.757           |-4041.757           |949.567             |lns
total time : 949.5684156417847
