/media/sunyu/OS1/suanli/collectionunzip/anonymous_38
obj                 |bestobj             |time                |
1409319.450         |1409319.450         |0.071               |KS1
93579.376           |93579.376           |50.092              |KS2
89306.087           |89306.087           |100.112             |KS2
89306.087           |89306.087           |100.418             |KS2
86131.320           |86131.320           |150.447             |lns
79929.001           |79929.001           |228.037             |lns2
76833.498           |76833.498           |278.071             |lns
76833.496           |76833.496           |328.187             |lns2
total time : 1000.0075724124908
